//SeaDataNet ODV PHYSICOCHEMICAL profile - Generated by Nemo 1.7.3 - 2022-05-25 14:53:46+0200
//
//<sdn_reference xlink:href="https://seadata.bsh.de/cgi-csr/XML/xmlDownload_V2.pl?csrref=20213136" xlink:role="isObservedBy" xlink:type="SDN:L23::CSR"/>
//<sdn_reference xlink:href="https://www.seadatanet.org/urnurl/SDN:C17::64PE" xlink:role="isObservedBy" xlink:type="SDN:L23::NVS2CON"/>
//<sdn_reference xlink:href="https://cdi.seadatanet.org/report/edmo/120/496235/v1/xml" xlink:role="isDescribedBy" xlink:type="SDN:L23::CDI" sdn:scope="120:496235" />
//SDN_parameter_mapping
//<subject>SDN:LOCAL:ADEPZZ01</subject><object>SDN:P01::ADEPZZ01</object><units>SDN:P06::ULAA</units>
//<subject>SDN:LOCAL:SampleID</subject><object>SDN:P01::SAMPID01</object><units>SDN:P06::XXXX</units>
//<subject>SDN:LOCAL:TEMPS901</subject><object>SDN:P01::TEMPS901</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:POTMCV01</subject><object>SDN:P01::POTMCV01</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:CNDCST01</subject><object>SDN:P01::CNDCST01</object><units>SDN:P06::MSCM</units>
//<subject>SDN:LOCAL:PRESPR01</subject><object>SDN:P01::PRESPR01</object><units>SDN:P06::UPDB</units>
//<subject>SDN:LOCAL:PSALST01</subject><object>SDN:P01::PSALST01</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:SIGTPR01</subject><object>SDN:P01::SIGTPR01</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:FLUOZZZZ</subject><object>SDN:P01::FLUOZZZZ</object><units>SDN:P06::UUUU</units>
//<subject>SDN:LOCAL:ATTNZS01</subject><object>SDN:P01::ATTNZS01</object><units>SDN:P06::UPRM</units>
//<subject>SDN:LOCAL:TURBXXXX</subject><object>SDN:P01::TURBXXXX</object><units>SDN:P06::USTU</units>
//<subject>SDN:LOCAL:SIGTEQST</subject><object>SDN:P01::SIGTEQST</object><units>SDN:P06::UKMC</units>
//<subject>SDN:LOCAL:POTMCV02</subject><object>SDN:P01::POTMCV02</object><units>SDN:P06::UPAA</units>
//<subject>SDN:LOCAL:PSALST02</subject><object>SDN:P01::PSALST02</object><units>SDN:P06::UUUU</units>
//
Cruise	Station	Type	YYYY-MM-DDThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	ADEPZZ01 [Metres]	QV:SEADATANET	SampleID:INDEXED_TEXT	QV:SEADATANET	TEMPS901 [Degrees Celsius]	QV:SEADATANET	POTMCV01 [Degrees Celsius]	QV:SEADATANET	CNDCST01 [MilliSiemens per centimetre]	QV:SEADATANET	PRESPR01 [Decibars]	QV:SEADATANET	PSALST01 [Dimensionless]	QV:SEADATANET	SIGTPR01 [Kilograms per cubic metre]	QV:SEADATANET	FLUOZZZZ [Dimensionless]	QV:SEADATANET	ATTNZS01 [per metre]	QV:SEADATANET	TURBXXXX [Nephelometric Turbidity Units]	QV:SEADATANET	SIGTEQST [Kilograms per cubic metre]	QV:SEADATANET	POTMCV02 [Degrees Celsius]	QV:SEADATANET	 [Dimensionless]	QV:SEADATANET
									71	0	iMAR_2021_St00	0	15.9220	0	15.9106	0	45.06848	0	71.552	0	36.0847	0	26.6029	0	0.2202	0	76.6062	0	3.652	0	26.599	0	15.9107	0	36.0832	0
									72	0	iMAR_2021_St00	0	15.9089	0	15.8974	0	45.05646	0	72.560	0	36.0855	0	26.6066	0	0.2097	0	76.5960	0	3.652	0	26.603	0	15.8975	0	36.0839	0
									73	0	iMAR_2021_St00	0	15.8898	0	15.8782	0	45.03659	0	73.568	0	36.0850	0	26.6106	0	0.2127	0	76.5727	0	3.652	0	26.607	0	15.8782	0	36.0831	0
									74	0	iMAR_2021_St00	0	15.8836	0	15.8718	0	45.02954	0	74.576	0	36.0839	0	26.6113	0	0.2110	0	76.6180	0	3.649	0	26.607	0	15.8718	0	36.0821	0
									75	0	iMAR_2021_St00	0	15.8816	0	15.8696	0	45.02782	0	75.583	0	36.0835	0	26.6115	0	0.2270	0	76.6526	0	3.644	0	26.608	0	15.8696	0	36.0819	0
									76	0	iMAR_2021_St00	0	15.8682	0	15.8561	0	45.01541	0	76.591	0	36.0843	0	26.6151	0	0.2501	0	76.6604	0	3.644	0	26.611	0	15.8561	0	36.0826	0
									77	0	iMAR_2021_St00	0	15.8548	0	15.8425	0	45.00120	0	77.599	0	36.0835	0	26.6177	0	0.2188	0	76.6814	0	3.645	0	26.614	0	15.8425	0	36.0817	0
									78	0	iMAR_2021_St00	0	15.8507	0	15.8383	0	44.99739	0	78.607	0	36.0832	0	26.6185	0	0.1984	0	76.6932	0	3.647	0	26.614	0	15.8382	0	36.0816	0
									79	0	iMAR_2021_St00	0	15.8479	0	15.8352	0	44.99497	0	79.615	0	36.0831	0	26.6191	0	0.1855	0	76.7210	0	3.645	0	26.615	0	15.8353	0	36.0816	0
									80	0	iMAR_2021_St00	0	15.8345	0	15.8217	0	44.98249	0	80.623	0	36.0838	0	26.6227	0	0.1781	0	76.7270	0	3.647	0	26.619	0	15.8217	0	36.0822	0
									81	0	iMAR_2021_St00	0	15.8215	0	15.8086	0	44.96904	0	81.631	0	36.0832	0	26.6253	0	0.1720	0	76.7103	0	3.642	0	26.621	0	15.8086	0	36.0815	0
									82	0	iMAR_2021_St00	0	15.8112	0	15.7981	0	44.95888	0	82.639	0	36.0832	0	26.6276	0	0.1856	0	76.7443	0	3.642	0	26.623	0	15.7981	0	36.0814	0
									83	0	iMAR_2021_St00	0	15.7981	0	15.7849	0	44.94581	0	83.647	0	36.0830	0	26.6305	0	0.1918	0	76.7543	0	3.640	0	26.626	0	15.7849	0	36.0812	0
									84	0	iMAR_2021_St00	0	15.7928	0	15.7794	0	44.94030	0	84.655	0	36.0824	0	26.6313	0	0.1730	0	76.8035	0	3.636	0	26.627	0	15.7794	0	36.0807	0
									85	0	iMAR_2021_St00	0	15.7592	0	15.7458	0	44.90896	0	85.663	0	36.0850	0	26.6410	0	0.1721	0	76.8177	0	3.640	0	26.636	0	15.7458	0	36.0827	0
									86	0	iMAR_2021_St00	0	15.7318	0	15.7181	0	44.87983	0	86.671	0	36.0838	0	26.6464	0	0.1690	0	76.7896	0	3.637	0	26.641	0	15.7181	0	36.0811	0
									87	0	iMAR_2021_St00	0	15.7215	0	15.7077	0	44.86934	0	87.679	0	36.0832	0	26.6483	0	0.1597	0	76.8635	0	3.638	0	26.643	0	15.7077	0	36.0807	0
									88	0	iMAR_2021_St00	0	15.7186	0	15.7046	0	44.86640	0	88.687	0	36.0826	0	26.6485	0	0.1398	0	76.9107	0	3.639	0	26.644	0	15.7046	0	36.0803	0
									89	0	iMAR_2021_St00	0	15.7075	0	15.6935	0	44.85631	0	89.695	0	36.0832	0	26.6515	0	0.1239	0	76.9302	0	3.636	0	26.647	0	15.6935	0	36.0809	0
									90	0	iMAR_2021_St00	0	15.6970	0	15.6828	0	44.84585	0	90.704	0	36.0830	0	26.6539	0	0.1193	0	76.9390	0	3.631	0	26.649	0	15.6827	0	36.0807	0
									91	0	iMAR_2021_St00	0	15.6927	0	15.6783	0	44.84132	0	91.712	0	36.0822	0	26.6542	0	0.1193	0	76.9560	0	3.635	0	26.649	0	15.6783	0	36.0801	0
									92	0	iMAR_2021_St00	0	15.6912	0	15.6766	0	44.84010	0	92.720	0	36.0819	0	26.6544	0	0.1167	0	76.9535	0	3.632	0	26.650	0	15.6766	0	36.0800	0
									93	0	iMAR_2021_St00	0	15.6894	0	15.6746	0	44.83853	0	93.728	0	36.0815	0	26.6546	0	0.1147	0	76.9654	0	3.631	0	26.650	0	15.6746	0	36.0798	0
									94	0	iMAR_2021_St00	0	15.6893	0	15.6744	0	44.83892	0	94.736	0	36.0813	0	26.6544	0	0.1081	0	76.9562	0	3.629	0	26.650	0	15.6744	0	36.0799	0
									95	0	iMAR_2021_St00	0	15.6892	0	15.6742	0	44.83931	0	95.744	0	36.0810	0	26.6543	0	0.1107	0	76.9498	0	3.628	0	26.650	0	15.6742	0	36.0798	0
									96	0	iMAR_2021_St00	0	15.6855	0	15.6703	0	44.83675	0	96.752	0	36.0816	0	26.6556	0	0.1115	0	76.9850	0	3.627	0	26.651	0	15.6704	0	36.0805	0
									97	0	iMAR_2021_St00	0	15.6829	0	15.6675	0	44.83458	0	97.760	0	36.0816	0	26.6563	0	0.1106	0	76.9830	0	3.627	0	26.652	0	15.6675	0	36.0806	0
									98	0	iMAR_2021_St00	0	15.6836	0	15.6681	0	44.83551	0	98.768	0	36.0812	0	26.6558	0	0.1100	0	76.9923	0	3.624	0	26.652	0	15.6681	0	36.0803	0
									99	0	iMAR_2021_St00	0	15.6815	0	15.6658	0	44.83457	0	99.776	0	36.0819	0	26.6568	0	0.1094	0	77.0032	0	3.626	0	26.653	0	15.6658	0	36.0810	0
									100	0	iMAR_2021_St00	0	15.6783	0	15.6625	0	44.83188	0	100.784	0	36.0819	0	26.6576	0	0.1100	0	77.0036	0	3.626	0	26.653	0	15.6625	0	36.0810	0
									101	0	iMAR_2021_St00	0	15.6672	0	15.6512	0	44.82295	0	101.792	0	36.0838	0	26.6616	0	0.1112	0	77.0019	0	3.624	0	26.657	0	15.6512	0	36.0827	0
									102	0	iMAR_2021_St00	0	15.6450	0	15.6289	0	44.80088	0	102.800	0	36.0841	0	26.6670	0	0.1100	0	76.9887	0	3.623	0	26.662	0	15.6289	0	36.0827	0
									103	0	iMAR_2021_St00	0	15.6376	0	15.6214	0	44.79337	0	103.808	0	36.0837	0	26.6684	0	0.1077	0	77.0651	0	3.621	0	26.664	0	15.6214	0	36.0823	0
									104	0	iMAR_2021_St00	0	15.6281	0	15.6116	0	44.78358	0	104.817	0	36.0833	0	26.6702	0	0.0947	0	77.0817	0	3.621	0	26.665	0	15.6116	0	36.0818	0
									105	0	iMAR_2021_St00	0	15.6194	0	15.6029	0	44.77497	0	105.825	0	36.0830	0	26.6720	0	0.0880	0	77.0799	0	3.625	0	26.667	0	15.6029	0	36.0815	0
									106	0	iMAR_2021_St00	0	15.6078	0	15.5911	0	44.76345	0	106.833	0	36.0830	0	26.6747	0	0.0854	0	77.0845	0	3.619	0	26.670	0	15.5911	0	36.0814	0
									107	0	iMAR_2021_St00	0	15.5868	0	15.5699	0	44.74182	0	107.841	0	36.0825	0	26.6791	0	0.0802	0	77.0951	0	3.619	0	26.674	0	15.5699	0	36.0807	0
									108	0	iMAR_2021_St00	0	15.5801	0	15.5631	0	44.73448	0	108.849	0	36.0816	0	26.6800	0	0.0812	0	77.1042	0	3.621	0	26.675	0	15.5630	0	36.0798	0
									109	0	iMAR_2021_St00	0	15.5743	0	15.5571	0	44.72887	0	109.857	0	36.0813	0	26.6811	0	0.0784	0	77.1067	0	3.617	0	26.676	0	15.5571	0	36.0796	0
									110	0	iMAR_2021_St00	0	15.5674	0	15.5500	0	44.72182	0	110.865	0	36.0808	0	26.6824	0	0.1208	0	77.1126	0	3.617	0	26.677	0	15.5500	0	36.0792	0
									111	0	iMAR_2021_St00	0	15.5591	0	15.5416	0	44.71309	0	111.873	0	36.0801	0	26.6837	0	0.1041	0	77.1249	0	3.615	0	26.678	0	15.5416	0	36.0784	0
									112	0	iMAR_2021_St00	0	15.5550	0	15.5374	0	44.70842	0	112.881	0	36.0791	0	26.6838	0	0.0857	0	77.1115	0	3.614	0	26.679	0	15.5373	0	36.0775	0
									113	0	iMAR_2021_St00	0	15.5549	0	15.5371	0	44.70849	0	113.890	0	36.0786	0	26.6835	0	0.0787	0	77.1203	0	3.613	0	26.679	0	15.5372	0	36.0772	0
									114	0	iMAR_2021_St00	0	15.5446	0	15.5266	0	44.69787	0	114.898	0	36.0781	0	26.6856	0	0.0763	0	77.1180	0	3.612	0	26.680	0	15.5267	0	36.0767	0
									115	0	iMAR_2021_St00	0	15.5188	0	15.5007	0	44.66947	0	115.906	0	36.0761	0	26.6899	0	0.0705	0	77.1450	0	3.614	0	26.684	0	15.5007	0	36.0742	0
									116	0	iMAR_2021_St00	0	15.4923	0	15.4742	0	44.64128	0	116.914	0	36.0748	0	26.6949	0	0.0714	0	77.1340	0	3.615	0	26.689	0	15.4741	0	36.0726	0
									117	0	iMAR_2021_St00	0	15.4791	0	15.4608	0	44.62622	0	117.922	0	36.0730	0	26.6965	0	0.0718	0	77.1304	0	3.612	0	26.691	0	15.4608	0	36.0706	0
									118	0	iMAR_2021_St00	0	15.4731	0	15.4546	0	44.61964	0	118.930	0	36.0719	0	26.6970	0	0.0693	0	77.1531	0	3.612	0	26.691	0	15.4546	0	36.0698	0
									119	0	iMAR_2021_St00	0	15.4707	0	15.4520	0	44.61675	0	119.939	0	36.0709	0	26.6969	0	0.0698	0	77.1557	0	3.609	0	26.691	0	15.4520	0	36.0690	0
									120	0	iMAR_2021_St00	0	15.4700	0	15.4512	0	44.61615	0	120.947	0	36.0703	0	26.6966	0	0.0656	0	77.1557	0	3.607	0	26.691	0	15.4512	0	36.0686	0
									121	0	iMAR_2021_St00	0	15.4695	0	15.4505	0	44.61598	0	121.955	0	36.0700	0	26.6965	0	0.0643	0	77.1557	0	3.605	0	26.691	0	15.4505	0	36.0686	0
									122	0	iMAR_2021_St00	0	15.4693	0	15.4501	0	44.61640	0	122.963	0	36.0700	0	26.6966	0	0.0664	0	77.1546	0	3.605	0	26.691	0	15.4501	0	36.0687	0
									123	0	iMAR_2021_St00	0	15.4691	0	15.4499	0	44.61684	0	123.971	0	36.0699	0	26.6966	0	0.0664	0	77.1589	0	3.609	0	26.691	0	15.4498	0	36.0688	0
									124	0	iMAR_2021_St00	0	15.4700	0	15.4506	0	44.61941	0	124.980	0	36.0709	0	26.6972	0	0.0638	0	77.1332	0	3.608	0	26.692	0	15.4506	0	36.0699	0
									125	0	iMAR_2021_St00	0	15.4701	0	15.4505	0	44.62076	0	125.988	0	36.0715	0	26.6976	0	0.0675	0	77.1570	0	3.608	0	26.693	0	15.4505	0	36.0707	0
									126	0	iMAR_2021_St00	0	15.4716	0	15.4518	0	44.62314	0	126.996	0	36.0717	0	26.6976	0	0.0643	0	77.1619	0	3.606	0	26.693	0	15.4518	0	36.0711	0
									127	0	iMAR_2021_St00	0	15.4638	0	15.4438	0	44.61562	0	128.004	0	36.0718	0	26.6994	0	0.0575	0	77.1701	0	3.607	0	26.694	0	15.4439	0	36.0710	0
									128	0	iMAR_2021_St00	0	15.4431	0	15.4230	0	44.59508	0	129.012	0	36.0721	0	26.7044	0	0.0510	0	77.1672	0	3.604	0	26.699	0	15.4230	0	36.0710	0
									129	0	iMAR_2021_St00	0	15.4285	0	15.4083	0	44.58027	0	130.021	0	36.0719	0	26.7075	0	0.0505	0	77.1863	0	3.602	0	26.702	0	15.4083	0	36.0705	0
									130	0	iMAR_2021_St00	0	15.4230	0	15.4027	0	44.57438	0	131.029	0	36.0711	0	26.7082	0	0.0518	0	77.1967	0	3.602	0	26.703	0	15.4027	0	36.0698	0
									131	0	iMAR_2021_St00	0	15.4197	0	15.3992	0	44.57170	0	132.037	0	36.0712	0	26.7090	0	0.0477	0	77.2100	0	3.603	0	26.704	0	15.3992	0	36.0700	0
									132	0	iMAR_2021_St00	0	15.4159	0	15.3952	0	44.56816	0	133.045	0	36.0710	0	26.7098	0	0.0489	0	77.2066	0	3.604	0	26.704	0	15.3952	0	36.0698	0
									133	0	iMAR_2021_St00	0	15.4107	0	15.3899	0	44.56389	0	134.054	0	36.0715	0	26.7113	0	0.0513	0	77.2044	0	3.602	0	26.706	0	15.3899	0	36.0703	0
									134	0	iMAR_2021_St00	0	15.4054	0	15.3844	0	44.55916	0	135.062	0	36.0717	0	26.7127	0	0.0500	0	77.2211	0	3.602	0	26.707	0	15.3844	0	36.0705	0
									135	0	iMAR_2021_St00	0	15.4045	0	15.3834	0	44.55831	0	136.070	0	36.0711	0	26.7125	0	0.0489	0	77.2288	0	3.602	0	26.707	0	15.3834	0	36.0701	0
									136	0	iMAR_2021_St00	0	15.4058	0	15.3845	0	44.56028	0	137.078	0	36.0712	0	26.7123	0	0.0486	0	77.2368	0	3.605	0	26.707	0	15.3845	0	36.0703	0
									137	0	iMAR_2021_St00	0	15.4055	0	15.3840	0	44.56024	0	138.087	0	36.0709	0	26.7122	0	0.0499	0	77.2306	0	3.601	0	26.707	0	15.3840	0	36.0702	0
									138	0	iMAR_2021_St00	0	15.4050	0	15.3834	0	44.56025	0	139.095	0	36.0708	0	26.7123	0	0.0537	0	77.2280	0	3.597	0	26.707	0	15.3834	0	36.0702	0
									139	0	iMAR_2021_St00	0	15.3963	0	15.3746	0	44.55240	0	140.103	0	36.0714	0	26.7147	0	0.0494	0	77.2296	0	3.597	0	26.709	0	15.3746	0	36.0707	0
									140	0	iMAR_2021_St00	0	15.3872	0	15.3653	0	44.54279	0	141.111	0	36.0708	0	26.7163	0	0.0471	0	77.2373	0	3.599	0	26.711	0	15.3653	0	36.0699	0
									141	0	iMAR_2021_St00	0	15.3819	0	15.3598	0	44.53712	0	142.120	0	36.0701	0	26.7171	0	0.0445	0	77.2214	0	3.601	0	26.711	0	15.3598	0	36.0692	0
									142	0	iMAR_2021_St00	0	15.3796	0	15.3574	0	44.53478	0	143.128	0	36.0696	0	26.7172	0	0.0419	0	77.2378	0	3.597	0	26.712	0	15.3574	0	36.0687	0
									143	0	iMAR_2021_St00	0	15.3768	0	15.3544	0	44.53220	0	144.136	0	36.0694	0	26.7177	0	0.0423	0	77.2415	0	3.595	0	26.712	0	15.3544	0	36.0686	0
									144	0	iMAR_2021_St00	0	15.3740	0	15.3515	0	44.52943	0	145.145	0	36.0690	0	26.7181	0	0.0428	0	77.2476	0	3.595	0	26.712	0	15.3515	0	36.0682	0
									145	0	iMAR_2021_St00	0	15.3732	0	15.3505	0	44.52894	0	146.153	0	36.0688	0	26.7181	0	0.0442	0	77.2293	0	3.593	0	26.713	0	15.3505	0	36.0681	0
									146	0	iMAR_2021_St00	0	15.3721	0	15.3493	0	44.52787	0	147.161	0	36.0683	0	26.7180	0	0.0423	0	77.2248	0	3.593	0	26.712	0	15.3493	0	36.0677	0
									147	0	iMAR_2021_St00	0	15.3728	0	15.3498	0	44.52905	0	148.170	0	36.0683	0	26.7178	0	0.0422	0	77.2499	0	3.593	0	26.712	0	15.3498	0	36.0678	0
									148	0	iMAR_2021_St00	0	15.3716	0	15.3485	0	44.52804	0	149.178	0	36.0680	0	26.7179	0	0.0408	0	77.2327	0	3.593	0	26.712	0	15.3485	0	36.0675	0
									149	0	iMAR_2021_St00	0	15.3721	0	15.3488	0	44.52901	0	150.186	0	36.0679	0	26.7179	0	0.0409	0	77.2316	0	3.590	0	26.712	0	15.3488	0	36.0675	0
									150	0	iMAR_2021_St00	0	15.3706	0	15.3472	0	44.52790	0	151.195	0	36.0679	0	26.7181	0	0.0431	0	77.2460	0	3.593	0	26.713	0	15.3472	0	36.0675	0
									151	0	iMAR_2021_St00	0	15.3694	0	15.3458	0	44.52717	0	152.203	0	36.0679	0	26.7185	0	0.0451	0	77.2331	0	3.591	0	26.713	0	15.3458	0	36.0675	0
									152	0	iMAR_2021_St00	0	15.3691	0	15.3453	0	44.52716	0	153.211	0	36.0677	0	26.7185	0	0.0427	0	77.2415	0	3.589	0	26.713	0	15.3453	0	36.0674	0
									153	0	iMAR_2021_St00	0	15.3667	0	15.3427	0	44.52547	0	154.220	0	36.0680	0	26.7192	0	0.0393	0	77.2499	0	3.586	0	26.714	0	15.3427	0	36.0677	0
									154	0	iMAR_2021_St00	0	15.3648	0	15.3407	0	44.52361	0	155.228	0	36.0676	0	26.7194	0	0.0405	0	77.2536	0	3.585	0	26.714	0	15.3408	0	36.0673	0
									155	0	iMAR_2021_St00	0	15.3667	0	15.3425	0	44.52615	0	156.236	0	36.0676	0	26.7190	0	0.0433	0	77.2570	0	3.592	0	26.713	0	15.3425	0	36.0674	0
									156	0	iMAR_2021_St00	0	15.3648	0	15.3404	0	44.52460	0	157.245	0	36.0676	0	26.7195	0	0.0721	0	77.2543	0	3.589	0	26.714	0	15.3404	0	36.0673	0
									157	0	iMAR_2021_St00	0	15.3653	0	15.3408	0	44.52537	0	158.253	0	36.0673	0	26.7192	0	0.0622	0	77.2301	0	3.588	0	26.714	0	15.3408	0	36.0671	0
									158	0	iMAR_2021_St00	0	15.3604	0	15.3356	0	44.52046	0	159.261	0	36.0672	0	26.7202	0	0.0463	0	77.2295	0	3.587	0	26.714	0	15.3357	0	36.0668	0
									159	0	iMAR_2021_St00	0	15.3487	0	15.3239	0	44.50599	0	160.270	0	36.0645	0	26.7208	0	0.0451	0	77.2316	0	3.586	0	26.715	0	15.3239	0	36.0640	0
									160	0	iMAR_2021_St00	0	15.3464	0	15.3214	0	44.50298	0	161.278	0	36.0636	0	26.7206	0	0.0414	0	77.2560	0	3.585	0	26.715	0	15.3214	0	36.0630	0
									161	0	iMAR_2021_St00	0	15.3456	0	15.3204	0	44.50234	0	162.287	0	36.0632	0	26.7206	0	0.0414	0	77.2566	0	3.588	0	26.715	0	15.3204	0	36.0627	0
									162	0	iMAR_2021_St00	0	15.3440	0	15.3187	0	44.50107	0	163.295	0	36.0630	0	26.7208	0	0.0422	0	77.2585	0	3.583	0	26.715	0	15.3187	0	36.0626	0
									163	0	iMAR_2021_St00	0	15.3437	0	15.3182	0	44.50106	0	164.303	0	36.0628	0	26.7208	0	0.0463	0	77.2572	0	3.585	0	26.715	0	15.3182	0	36.0625	0
									164	0	iMAR_2021_St00	0	15.3424	0	15.3168	0	44.50028	0	165.312	0	36.0629	0	26.7211	0	0.0428	0	77.2467	0	3.583	0	26.715	0	15.3168	0	36.0625	0
									165	0	iMAR_2021_St00	0	15.3427	0	15.3169	0	44.50131	0	166.320	0	36.0631	0	26.7213	0	0.0421	0	77.2112	0	3.588	0	26.715	0	15.3169	0	36.0628	0
									166	0	iMAR_2021_St00	0	15.3431	0	15.3172	0	44.50280	0	167.328	0	36.0636	0	26.7216	0	0.0458	0	77.2293	0	3.599	0	26.716	0	15.3172	0	36.0633	0
									167	0	iMAR_2021_St00	0	15.3430	0	15.3169	0	44.50329	0	168.337	0	36.0638	0	26.7218	0	0.0470	0	77.2542	0	3.584	0	26.716	0	15.3169	0	36.0635	0
									168	0	iMAR_2021_St00	0	15.3429	0	15.3167	0	44.50378	0	169.345	0	36.0638	0	26.7218	0	0.0448	0	77.2603	0	3.579	0	26.716	0	15.3167	0	36.0636	0
									169	0	iMAR_2021_St00	0	15.3422	0	15.3158	0	44.50370	0	170.354	0	36.0639	0	26.7222	0	0.0439	0	77.2570	0	3.580	0	26.716	0	15.3158	0	36.0637	0
									170	0	iMAR_2021_St00	0	15.3413	0	15.3148	0	44.50342	0	171.362	0	36.0641	0	26.7225	0	0.0440	0	77.2599	0	3.581	0	26.716	0	15.3148	0	36.0639	0
									171	0	iMAR_2021_St00	0	15.3399	0	15.3132	0	44.50241	0	172.371	0	36.0640	0	26.7228	0	0.0412	0	77.2600	0	3.581	0	26.717	0	15.3132	0	36.0638	0
									172	0	iMAR_2021_St00	0	15.3396	0	15.3128	0	44.50246	0	173.379	0	36.0639	0	26.7228	0	0.0425	0	77.2555	0	3.579	0	26.717	0	15.3128	0	36.0638	0
									173	0	iMAR_2021_St00	0	15.3400	0	15.3130	0	44.50307	0	174.388	0	36.0637	0	26.7226	0	0.0475	0	77.2587	0	3.579	0	26.717	0	15.3129	0	36.0636	0
									174	0	iMAR_2021_St00	0	15.3399	0	15.3127	0	44.50339	0	175.396	0	36.0637	0	26.7227	0	0.0464	0	77.2585	0	3.578	0	26.716	0	15.3127	0	36.0635	0
									175	0	iMAR_2021_St00	0	15.3400	0	15.3126	0	44.50403	0	176.404	0	36.0637	0	26.7227	0	0.0482	0	77.2574	0	3.576	0	26.717	0	15.3126	0	36.0636	0
									176	0	iMAR_2021_St00	0	15.3399	0	15.3124	0	44.50452	0	177.413	0	36.0638	0	26.7228	0	0.0444	0	77.2556	0	3.578	0	26.717	0	15.3124	0	36.0637	0
									177	0	iMAR_2021_St00	0	15.3400	0	15.3124	0	44.50501	0	178.421	0	36.0637	0	26.7228	0	0.0424	0	77.2475	0	3.576	0	26.717	0	15.3124	0	36.0636	0
									178	0	iMAR_2021_St00	0	15.3403	0	15.3125	0	44.50580	0	179.430	0	36.0638	0	26.7228	0	0.0441	0	77.2625	0	3.580	0	26.717	0	15.3124	0	36.0637	0
									179	0	iMAR_2021_St00	0	15.3408	0	15.3128	0	44.50681	0	180.438	0	36.0638	0	26.7227	0	0.0422	0	77.2754	0	3.574	0	26.716	0	15.3128	0	36.0637	0
									180	0	iMAR_2021_St00	0	15.3410	0	15.3129	0	44.50766	0	181.447	0	36.0639	0	26.7228	0	0.0404	0	77.2767	0	3.576	0	26.717	0	15.3129	0	36.0639	0
									181	0	iMAR_2021_St00	0	15.3395	0	15.3112	0	44.50677	0	182.455	0	36.0641	0	26.7233	0	0.0375	0	77.2600	0	3.573	0	26.717	0	15.3113	0	36.0640	0
									182	0	iMAR_2021_St00	0	15.3247	0	15.2963	0	44.48916	0	183.464	0	36.0617	0	26.7248	0	0.0379	0	77.2607	0	3.572	0	26.718	0	15.2963	0	36.0612	0
									183	0	iMAR_2021_St00	0	15.3207	0	15.2922	0	44.48392	0	184.472	0	36.0602	0	26.7246	0	0.0374	0	77.2588	0	3.574	0	26.718	0	15.2922	0	36.0597	0
									184	0	iMAR_2021_St00	0	15.3205	0	15.2918	0	44.48401	0	185.481	0	36.0601	0	26.7246	0	0.0386	0	77.2652	0	3.571	0	26.718	0	15.2917	0	36.0596	0
									185	0	iMAR_2021_St00	0	15.3205	0	15.2916	0	44.48456	0	186.489	0	36.0601	0	26.7246	0	0.0369	0	77.2544	0	3.570	0	26.718	0	15.2916	0	36.0597	0
									186	0	iMAR_2021_St00	0	15.3204	0	15.2914	0	44.48484	0	187.498	0	36.0599	0	26.7246	0	0.0425	0	77.2666	0	3.569	0	26.718	0	15.2914	0	36.0596	0
									187	0	iMAR_2021_St00	0	15.3205	0	15.2913	0	44.48561	0	188.506	0	36.0601	0	26.7247	0	0.0402	0	77.2612	0	3.568	0	26.718	0	15.2913	0	36.0598	0
									188	0	iMAR_2021_St00	0	15.3207	0	15.2913	0	44.48614	0	189.515	0	36.0600	0	26.7246	0	0.0352	0	77.2626	0	3.570	0	26.718	0	15.2913	0	36.0598	0
									189	0	iMAR_2021_St00	0	15.3208	0	15.2912	0	44.48678	0	190.523	0	36.0600	0	26.7247	0	0.0351	0	77.2810	0	3.568	0	26.718	0	15.2912	0	36.0598	0
									190	0	iMAR_2021_St00	0	15.3207	0	15.2910	0	44.48778	0	191.532	0	36.0605	0	26.7251	0	0.0373	0	77.2741	0	3.570	0	26.718	0	15.2910	0	36.0604	0
									191	0	iMAR_2021_St00	0	15.3203	0	15.2905	0	44.48802	0	192.540	0	36.0607	0	26.7253	0	0.0370	0	77.2588	0	3.567	0	26.719	0	15.2905	0	36.0605	0
									192	0	iMAR_2021_St00	0	15.3208	0	15.2908	0	44.48889	0	193.549	0	36.0606	0	26.7252	0	0.0374	0	77.2746	0	3.567	0	26.718	0	15.2908	0	36.0605	0
									193	0	iMAR_2021_St00	0	15.3201	0	15.2900	0	44.48912	0	194.557	0	36.0610	0	26.7257	0	0.0371	0	77.2803	0	3.567	0	26.719	0	15.2900	0	36.0609	0
									194	0	iMAR_2021_St00	0	15.3204	0	15.2901	0	44.48978	0	195.566	0	36.0609	0	26.7256	0	0.0380	0	77.2772	0	3.568	0	26.719	0	15.2901	0	36.0608	0
